area_sqft,bedrooms,bathrooms,floors,property_age,renovation_status,lot_size,distance_city_km,neighborhood_score,crime_rate_index,school_rating,hospital_proximity_km,shopping_center_proximity_km,public_transport_score,parking_availability,property_type,construction_quality,energy_efficiency_score,water_supply_score,electricity_supply_score,internet_availability_score,green_space_index,flood_risk_index,noise_pollution_level,SalePrice,Fireplaces
1710,3,2.5,2,23,0,8450,4.72,6.9,2.3,7.8,5.36,2.34,8.9,1,1Fam,7,8.4,6.5,7,7.7,5.3,2.4,5.8,208500,0
1262,3,2,1,50,0,9600,4.66,5.4,4.7,6.7,4.8,3.49,6.3,1,1Fam,6,3.6,5.9,6.5,6.9,7.8,5.7,5.3,181500,1
1786,3,2.5,2,25,1,11250,6.27,6.9,2.8,7.2,3.51,2.54,6,1,1Fam,7,4.8,8,6.9,7.2,9.2,1.6,2.7,223500,1
1717,3,1,2,111,1,9550,6.3,6.6,2.9,7.8,2.88,3.34,8.2,1,1Fam,7,0,7,7,7.3,4.3,10,3,140000,1
2198,4,2.5,2,26,0,14260,6.9,7.7,2.1,8.4,4.72,2.46,6.4,1,1Fam,8,8,8.6,7.7,6.9,10,0.6,3.4,250000,1
1362,1,1.5,2,33,1,14115,6.82,5.3,5.3,5.2,6.45,1.96,6,1,1Fam,5,6.8,5.3,5.2,6,9.7,4.8,1.8,143000,0
1694,3,2,1,22,1,10084,6.62,8.8,1.9,8.3,6.93,3.02,8.5,1,1Fam,8,6.6,8.6,8.2,7.7,7.6,2.2,3.5,307000,1
2090,3,2.5,2,53,0,10382,5.96,7.2,3.2,6.7,4.01,4.44,7.6,1,1Fam,7,3.5,5.6,7.5,6.5,6.4,6.3,4.6,200000,2
1774,2,2,2,95,1,6120,2.59,6.4,4.6,7.8,4.08,1.95,8.5,1,1Fam,7,0,6.8,6.7,6.9,2.3,9.9,8.4,129900,2
1077,2,1,1,87,1,7420,4.25,5.2,6,5.9,6.43,4.03,8.9,1,2fmCon,5,0,5.7,4.8,5.8,5.5,9,4.3,118000,2
1040,3,1,1,61,0,11200,5.14,5.6,5.9,5.9,7.24,4.55,6.8,1,1Fam,5,3.3,4.7,5.4,6.1,6.5,6.7,6.2,129500,0
2324,4,3,2,21,1,11924,5.5,8.7,0.5,10,2.53,0.24,8.6,1,1Fam,9,6.2,9.9,9.1,9.1,6.6,2.9,6.2,345000,2
912,2,1,1,64,0,12968,6.73,4.9,4.1,5.7,7.61,5.22,6,1,1Fam,5,1.1,5.7,4.5,5.5,7.3,6.1,3.7,144000,0
1494,3,2,1,20,1,10652,3.41,7,4,7.3,4.02,1.05,8,1,1Fam,7,6.4,6.8,7.7,7,7.7,3,5.5,279500,1
1253,2,1.5,1,66,0,10920,3.74,5.6,4.9,7.2,4.62,2.88,8.7,1,1Fam,6,0.3,5.7,5.2,5.5,7.4,5.5,5.9,157000,1
854,2,1,1,97,1,6120,2.5,7.3,4.5,6.7,3.2,4.54,7.1,1,1Fam,7,0,6.5,7.4,7.7,4.9,9.7,7.5,132000,0
1004,2,1,1,56,0,11241,4.61,5.9,3.4,6,3.78,3.07,6.8,1,1Fam,6,4.2,5.7,5.4,5.7,8.2,6.4,5.7,149000,1
1296,2,2,1,59,0,10791,5.71,4.2,5.8,3.7,7.48,7.24,8.4,1,Duplex,4,2.4,3.4,4.9,4.8,6.8,6.9,4.3,90000,0
1114,3,1.5,1,22,0,13695,5.94,4.6,3.4,6.3,6.7,5.36,7.7,1,1Fam,5,5.7,5.2,4.2,5.6,9.1,2.7,4.3,159000,0
1339,3,1,1,68,1,7560,2.37,4.8,4.6,6.2,6.37,3.19,7.9,1,1Fam,5,2.3,4.3,5.6,5.3,4.5,6.4,7.5,139000,0
2376,4,3.5,2,21,1,14215,8.57,8.4,3,9.1,5.24,2.64,5.7,1,1Fam,8,9.1,8.3,8,8.9,9.3,3,1.7,325300,1
1108,3,1,1,96,1,7449,3.5,6.8,2.5,8.5,6.23,2.88,9.1,1,1Fam,7,0,7.3,6.8,8.1,4,8.9,6,139400,1
1795,3,2,1,24,0,9742,4.94,8.9,2.6,8.2,3.67,1.54,8.7,1,1Fam,8,6.5,7.2,8.1,7.9,6.9,4.2,4.7,230000,1
1060,3,1,1,50,0,4224,0.69,4.8,4.8,5.7,5.21,5.24,7.8,1,TwnhsE,5,4.3,5.8,5.3,4.6,3.9,4.9,8.7,129900,1
1060,3,1,1,58,1,8246,3.58,5.1,5.3,5.4,6.43,5.47,6.7,1,1Fam,5,4.4,5.3,4.5,4.1,4.7,4.3,8.3,154000,1
1600,3,2,1,19,0,14230,7.23,8.5,0.9,9.4,3.4,2.71,6.7,1,1Fam,8,7.1,8.4,7.6,9.1,10,0.7,4.2,256300,1
900,3,1,1,75,1,7200,2.45,4.3,5.1,5.4,6.34,6.18,8.8,1,1Fam,5,0,4.6,5.3,4.8,4.9,7.5,8.1,134800,0
1704,3,2,1,19,1,11478,6.11,7.1,0,8.5,3.3,2.41,6.8,1,1Fam,8,8.3,8.3,7.1,8.6,7.9,2,5.2,306000,1
